,symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,currencyPair,shortSelling
1417,SGRO.UK_9,GBP,STC,GBP,6,15,104,6,3,1,1,1670345060140,,0,3,2,225,2434,2147483647,UK,Segro PLC,True,False,False,True,100.0,8.166,8.17,8.296,8.102,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.004,4.0,,0,0,0,0,Tue Dec 06 17:44:20 CET 2022,False,False
1418,B24.PL,PLN,STC,PLN,6,15,104,6,2,1,1,1670337602918,,0,2,2,222,2429,2147483647,Poland,Brand 24 SA,True,False,False,True,100.0,23.9,24.0,24.4,23.9,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.1,10.0,,0,0,0,0,Tue Dec 06 15:40:02 CET 2022,False,False
1419,TGS.NO_4,NOK,STC,NOK,6,4,103,6,2,1,1,1670340882190,,0,2,2,624,1354,2147483647,Norway,TGS Nopec Geophysical Co ASA CFD,False,False,False,True,100.0,130.7,131.4,133.9,128.2,1.0,1000000.0,1.0,0.01,0.01,-0.02158,-0.00342,50.0,0.7,70.0,,0,0,0,0,Tue Dec 06 16:34:42 CET 2022,False,True
1420,AG.US_9,USD,STC,USD,6,15,104,6,2,1,1,1670360363929,,0,2,2,12,2436,2147483647,US,First Majestic Silver Corp,True,False,False,True,100.0,8.89,8.91,9.1,8.83,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Tue Dec 06 21:59:23 CET 2022,False,False
1421,IBCJ.DE,EUR,ETF,EUR,6,15,104,6,3,1,1,1670345064145,,0,3,2,226,3052,2147483647,ETFs,"iShares MSCI Poland UCITS ETF (Acc, EUR)",True,False,False,True,100.0,12.184,12.268,12.284,12.13,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.084,84.0,,0,0,0,0,Tue Dec 06 17:44:24 CET 2022,False,False
1422,AGNC.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670359961189,,0,2,2,671,13,2147483647,US,AGNC Investment Corp CFD,False,False,False,True,100.0,9.62,9.68,9.84,9.53,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.06,6.0,,0,0,0,0,Tue Dec 06 21:52:41 CET 2022,False,True
1423,BKSY.US,USD,STC,USD,6,15,104,6,4,1,1,1670359621982,,0,4,2,12,2436,2147483647,US,Blacksky Technology Inc - class A,True,False,False,True,100.0,1.7,1.72,1.76,1.71,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.02,200.0,,0,0,0,0,Tue Dec 06 21:47:01 CET 2022,False,False
1424,KORI.FR_4,EUR,STC,EUR,6,4,103,6,3,1,1,1670345097164,,0,3,2,624,15,2147483647,France,Korian SA CFD,False,False,False,True,100.0,9.56,9.665,9.815,9.485,1.0,1000000.0,1.0,0.001,0.001,-0.01636,-0.00864,30.0,0.105,105.0,,0,0,0,0,Tue Dec 06 17:44:57 CET 2022,False,True
1425,WPP.UK_4,GBP,STC,GBP,6,4,103,6,3,1,1,1670345098667,,0,3,2,572,14,2147483647,UK,WPP PLC CFD,False,False,False,True,100.0,8.579,8.611,8.672,8.485,1.0,1000000.0,1.0,0.001,0.001,-0.02063,-0.00437,20.0,0.032,32.0,,0,0,0,0,Tue Dec 06 17:44:58 CET 2022,False,True
1426,FOX.US_4,USD,STC,USD,6,4,103,6,2,1,1,1670360392945,,0,2,2,671,13,2147483647,US,Fox Corp - class B CFD,False,False,False,True,100.0,29.14,29.26,30.32,28.79,1.0,1000000.0,1.0,0.01,0.01,-0.02308,-0.00192,20.0,0.12,12.0,,0,0,0,0,Tue Dec 06 21:59:52 CET 2022,False,True
1427,MOL.PL,PLN,STC,PLN,6,15,104,6,2,1,1,1670343306928,,0,2,2,224,2429,2147483647,Poland,MOL Magyar Olajes Gazipari Nyrt,True,False,False,True,100.0,32.3,32.86,31.8,31.6,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.56,56.0,,0,0,0,0,Tue Dec 06 17:15:06 CET 2022,False,False
