|STOCK|COUNTRY|URL
108|AKAM|US|https://www.investing.com/equities/akamai-technologies-inc
109|KLAC|US|https://www.investing.com/equities/kla-tencor-corp
110|JNPR|US|https://www.investing.com/equities/juniper-networks-inc
111|ATVI|US|https://www.investing.com/equities/activision-inc
112|FLEX|US|https://www.investing.com/equities/flextronics-intl-ltd
113|AMGN|US|https://www.investing.com/equities/amgen-inc
114|XLNX|US|https://www.investing.com/equities/xilinx-inc
115|EXPD|US|https://www.investing.com/equities/expeditors-intl-wash-inc
116|EA|US|https://www.investing.com/equities/electronic-arts-inc
117|PDCO|US|https://www.investing.com/equities/patterson-companies-inc
118|TROW|US|https://www.investing.com/equities/t-rowe-price-gp
119|BIIB|US|https://www.investing.com/equities/biogen-idec-inc
120|QRTEA|US|https://www.investing.com/equities/liberty-media-inter
121|SCHW|US|https://www.investing.com/equities/charles-schwab
122|HBAN|US|https://www.investing.com/equities/huntgtn-bkshr
123|NLOK|US|https://www.investing.com/equities/symantec-corp
124|NVDA|US|https://www.investing.com/equities/nvidia-corp
125|SRCL|US|https://www.investing.com/equities/stericycle-inc
126|SBUX|US|https://www.investing.com/equities/starbucks-corp
127|CELG|US|https://www.investing.com/equities/celgene-corp
128|CINF|US|https://www.investing.com/equities/cincinnati-fin
129|EXTR|US|https://www.investing.com/equities/extreme-networks
130|AAXN|US|https://www.investing.com/equities/taser-intl
131|HOLX|US|https://www.investing.com/equities/hologic-inc
132|CMCSA|US|https://www.investing.com/equities/comcast-corp-new
133|CPST|US|https://www.investing.com/equities/capstone-turbine-corp
134|MRVL|US|https://www.investing.com/equities/marvell-technology-group-ltd
135|BLDP|US|https://www.investing.com/equities/ballard-power-systems-inc
136|SIFY|US|https://www.investing.com/equities/sify-technologies
137|CDTI|US|https://www.investing.com/equities/clean-diesel-tech
138|EUHMF|US|https://www.investing.com/equities/euler-hermes
139|IBGR|US|https://www.investing.com/equities/nexus-energy
140|MDT|US|https://www.investing.com/equities/medtronic
141|DOV|US|https://www.investing.com/equities/dover-corp
142|ASH|US|https://www.investing.com/equities/ashland-inc
143|NOC|US|https://www.investing.com/equities/northrop-grumman
144|MGM|US|https://www.investing.com/equities/mgm-mirage
145|VNO|US|https://www.investing.com/equities/vornado-realty
146|MA|US|https://www.investing.com/equities/mastercard-cl-a
147|AN|US|https://www.investing.com/equities/autonation-inc
148|FLR|US|https://www.investing.com/equities/fluor-corp
149|GD|US|https://www.investing.com/equities/general-dynam
